,OBJECTID_1,POINT_X,POINT_Y
147,295.0,-122.3573354,47.47749872
148,297.0,-122.2479517,47.50863293
149,299.0,-122.3616517,47.57159015
150,301.0,-122.3618954,47.57147991
151,303.0,-122.3754285,47.50313178
152,305.0,-122.3754095,47.50352718
153,307.0,-122.303134,47.76124059
154,309.0,-122.3070845,47.54366543
155,311.0,-122.3067408,47.55845482
156,313.0,-122.3069625,47.55980154
157,315.0,-122.3611242,47.57058198
158,317.0,-122.3144172,47.76374813
159,319.0,-122.3140865,47.76312131
160,321.0,-122.2688831,47.54740041
161,323.0,-122.2849374,47.61238855
162,325.0,-122.3188414,47.73448896
163,327.0,-122.3201406,47.73449941
164,329.0,-122.2982057,47.68667557
165,331.0,-122.3153747,47.70676333
166,333.0,-122.2930607,47.58943514
167,335.0,-122.3586714,47.46351204
168,337.0,-122.3374192,47.65799078
169,339.0,-122.2494401,47.50319869
170,341.0,-122.3611456,47.54650917
171,343.0,-122.3520557,47.6134247
172,345.0,-122.333127,47.54428464
173,347.0,-122.4001085,47.57180339
174,349.0,-122.2528996,47.51445419
175,351.0,-122.3982938,47.66258251
176,353.0,-122.3434072,47.639575
177,355.0,-122.3454631,47.52463294
178,357.0,-122.3329294,47.51354284
179,359.0,-122.3003844,47.7156031
180,361.0,-122.3367593,47.60358616
181,363.0,-122.3414677,47.6103913
182,365.0,-122.3418588,47.61062245
183,367.0,-122.3364466,47.61969751
184,369.0,-122.2992731,47.5779006
185,371.0,-122.3517594,47.44838947
186,373.0,-122.3901177,47.57566033
187,375.0,-122.3910678,47.50860896
188,377.0,-122.3899535,47.50806644
189,379.0,-122.3003861,47.69075095
190,381.0,-122.2765438,47.69735052
191,383.0,-122.3725006,47.51107816
192,385.0,-122.3808212,47.55925311
193,387.0,-122.3953019,47.53911685
194,389.0,-122.2518925,47.51244017
195,391.0,-122.2866112,47.61286328
196,393.0,-122.3973552,47.57573275
197,395.0,-122.2934365,47.62496209
198,397.0,-122.3468947,47.75050044
199,399.0,-122.2987802,47.73560766
200,401.0,-122.3699054,47.52647649
201,403.0,-122.2864809,47.60922492
202,405.0,-122.2856133,47.73008917
203,407.0,-122.3071165,47.55452552
204,409.0,-122.2993765,47.70735499
205,411.0,-122.2701576,47.65957214
206,413.0,-122.3543948,47.67047273
207,415.0,-122.3542881,47.67047264
208,417.0,-122.2765885,47.55425182
209,419.0,-122.3647635,47.7111033
210,421.0,-122.3590938,47.66817979
211,423.0,-122.3126978,47.59149243
212,425.0,-122.2984883,47.59120833
213,427.0,-122.3179877,47.63502709
214,429.0,-122.3947186,47.51357334
215,431.0,-122.302313,47.57670776
216,433.0,-122.3306555,47.74649848
217,435.0,-122.2735976,47.48368216
218,437.0,-122.399444,47.6638568
219,439.0,-122.3053909,47.57940422
220,441.0,-122.2834756,47.56026249
221,443.0,-122.2945043,47.53526685
222,445.0,-122.2913844,47.53522339
223,447.0,-122.3670708,47.63352722
224,449.0,-122.2415744,47.49925882
225,451.0,-122.3538423,47.64324041
226,453.0,-122.3544588,47.73092557
227,455.0,-122.3904554,47.52915189
228,457.0,-122.3291015,47.74546129
229,459.0,-122.2659262,47.47791249
230,461.0,-122.3505514,47.65460934
231,463.0,-122.3113211,47.62872445
232,465.0,-122.4017474,47.66422001
233,467.0,-122.3065141,47.57404591
234,469.0,-122.3269718,47.68427321
235,471.0,-122.3269652,47.68385319
236,473.0,-122.3001349,47.56818196
237,475.0,-122.395641,47.64865566
238,477.0,-122.3956678,47.65045602
239,479.0,-122.2797327,47.48614102
240,481.0,-122.2840714,47.70099294
241,483.0,-122.39181,47.69273548
242,485.0,-122.3270289,47.76752399
243,487.0,-122.3768427,47.70733516
244,489.0,-122.3783551,47.53965703
245,491.0,-122.3193171,47.71684932
246,493.0,-122.3206032,47.63591025
247,495.0,-122.2774861,47.68155613
248,497.0,-122.3627127,47.57019289
249,499.0,-122.3185086,47.70583449
250,501.0,-122.346223,47.47992969
251,503.0,-122.2799812,47.69295063
252,505.0,-122.351449,47.62927807
253,507.0,-122.3269248,47.46134843
254,509.0,-122.3571303,47.76866625
255,511.0,-122.3099624,47.62321357
256,513.0,-122.3195483,47.66401536
257,515.0,-122.3542117,47.77311843
258,517.0,-122.3438895,47.62889742
259,519.0,-122.3173143,47.48006791
260,521.0,-122.3173179,47.47958559
261,523.0,-122.2914202,47.59797789
262,525.0,-122.2846465,47.53232785
263,527.0,-122.3150201,47.70583063
264,529.0,-122.3050923,47.67002879
265,531.0,-122.3607319,47.62095641
266,533.0,-122.2601023,47.5436446
267,535.0,-122.3530366,47.76064167
268,537.0,-122.2768119,47.45758361
269,539.0,-122.2680351,47.68610407
270,541.0,-122.3421498,47.75151334
271,543.0,-122.341094,47.71670645
272,545.0,-122.3785045,47.54289577
273,547.0,-122.3579233,47.62921888
274,549.0,-122.3683198,47.64913006
275,551.0,-122.4055664,47.63768983
276,553.0,-122.3791508,47.76732109
277,555.0,-122.3798891,47.76732534
278,557.0,-122.3888355,47.69235887
279,559.0,-122.3286205,47.71046759
280,561.0,-122.3219466,47.65003659
281,563.0,-122.3906061,47.65397146
282,565.0,-122.3299914,47.57369863
283,567.0,-122.392347,47.58814099
284,569.0,-122.3208557,47.65546891
285,571.0,-122.2740613,47.50972728
286,573.0,-122.3128795,47.47961752
287,575.0,-122.2548066,47.51659636
288,577.0,-122.3846433,47.58534271
289,579.0,-122.3502936,47.54281932
290,581.0,-122.3716772,47.50396733
291,583.0,-122.3088025,47.47593087
292,585.0,-122.367914,47.56689146
293,587.0,-122.3011437,47.59806934
294,589.0,-122.3830892,47.52508821
295,591.0,-122.2918361,47.45882133
296,593.0,-122.3811431,47.54367886
297,595.0,-122.4042743,47.56248889
298,597.0,-122.3898781,47.53699819
299,599.0,-122.2714537,47.69197193
300,601.0,-122.389289,47.65408649
301,603.0,-122.350994,47.50163533
302,605.0,-122.2800778,47.70465477
303,607.0,-122.3631492,47.53007949
304,609.0,-122.3865135,47.77345405
305,611.0,-122.3114058,47.58453738
306,613.0,-122.3005812,47.57212004
307,615.0,-122.4190911,47.57513334
308,617.0,-122.3197279,47.77685049
309,619.0,-122.3173455,47.7158206
310,621.0,-122.3583239,47.55015685
311,623.0,-122.3447042,47.61654795
312,625.0,-122.3448555,47.61643102
313,627.0,-122.3444051,47.61677918
314,629.0,-122.3986694,47.69485433
315,631.0,-122.2467924,47.50936595
316,633.0,-122.3722291,47.57285564
317,635.0,-122.3163199,47.64561659
318,637.0,-122.4067635,47.56838369
319,639.0,-122.3600854,47.75368307
320,641.0,-122.2995793,47.48511114
321,643.0,-122.3367912,47.57027646
322,645.0,-122.3215873,47.50951478
323,647.0,-122.3105025,47.69851255
324,649.0,-122.379834,47.45110129
325,651.0,-122.3198303,47.55199082
326,653.0,-122.3576945,47.75440099
327,655.0,-122.3151345,47.59437538
328,657.0,-122.3490925,47.631534
329,659.0,-122.3166859,47.57073489
330,661.0,-122.3332721,47.57369975
331,663.0,-122.249642,47.49934151
332,665.0,-122.3684904,47.51347337
333,667.0,-122.2872177,47.65913835
334,669.0,-122.2988729,47.70995992
335,671.0,-122.3141657,47.5586582
336,673.0,-122.3074581,47.74839495
337,675.0,-122.2847611,47.49949863
338,677.0,-122.3302642,47.60226121
339,679.0,-122.3011353,47.5999694
340,681.0,-122.3669704,47.62874902
341,683.0,-122.3655318,47.70513864
342,685.0,-122.3193776,47.73634734
343,687.0,-122.3234073,47.59306126
344,689.0,-122.3232734,47.59298228
345,691.0,-122.3235764,47.59316099
346,693.0,-122.3870383,47.59312268
347,695.0,-122.4051625,47.56316432
348,697.0,-122.2990449,47.62886748
349,699.0,-122.3291692,47.75502079
350,701.0,-122.3132739,47.50363368
351,703.0,-122.2755344,47.65498861
352,705.0,-122.3072668,47.6392677
353,707.0,-122.3915598,47.52677665
354,709.0,-122.3271606,47.62198103
355,711.0,-122.3112058,47.6286566
356,713.0,-122.3690171,47.70797752
357,715.0,-122.3837989,47.69745639
358,717.0,-122.2914293,47.53997099
359,719.0,-122.3569248,47.57011668
360,721.0,-122.3681391,47.65926914
