,Unnamed: 0,gsv_panorama_id,width,height,lat,lng,camera_heading,camera_pitch,intersection_id
4330,4330,LQn9FBwlK9LG82-gIfQAgw,16384.0,8192.0,47.54615020751953,-122.2947769165039,164.1297607421875,1.0917739868164062,26266
22514,22514,5bRsW7dB1cmoM11sBf7LoA,16384.0,8192.0,47.54615783691406,-122.29255676269533,92.3178939819336,1.5019149780273438,59871
7507,7507,dzmd1NjOLhEgejrc1vvGhQ,16384.0,8192.0,47.54616165161133,-122.29261779785156,92.61902618408205,0.867889404296875,59871
20427,20427,_od0djLp56-VIgXWORkcFQ,16384.0,8192.0,47.54616165161133,-122.29153442382812,271.2090759277344,-4.437873840332031,59079
14374,14374,yKUKXUlB1Xs36wPC9ldO9w,16384.0,8192.0,47.54618453979492,-122.29473876953124,23.86514472961425,0.3840560913085937,26266
6061,6061,5qkVXHlkw9PfJOVnlk_ERw,16384.0,8192.0,47.54618453979492,-122.29267120361328,271.6054077148437,-0.4078800082206726,59871
28122,28122,c0AQ8W6bfqp3U1a9jOhGsg,16384.0,8192.0,47.54619216918945,-122.29380798339844,93.41736602783205,1.46124267578125,61059
4328,4328,revyKuNxwvUXV8iSdyYIGw,16384.0,8192.0,47.54621124267578,-122.2936019897461,272.1049499511719,-1.0587999820709229,61059
25396,25396,UQxL2FVYqJwxFKS6G8b0Wg,16384.0,8192.0,47.54621505737305,-122.29486083984376,107.53229522705078,4.2757720947265625,26266
4329,4329,oeE-vqJ7vsG4qnDBr7gJPw,16384.0,8192.0,47.54621505737305,-122.29367065429688,272.0152893066406,-1.0574339628219604,61059
9149,9149,WWzLHXmMWaq9EWWMYRrtsg,16384.0,8192.0,47.54621887207031,-122.29159545898438,186.3699493408203,-0.1488723754882812,59079
24279,24279,EiZlqExpfO1aS4pI3NL_Ag,16384.0,8192.0,47.546234130859375,-122.2926025390625,358.2780456542969,-0.4395904541015625,59871
8069,8069,w-5u1_hCM_um8A93iHBDpQ,16384.0,8192.0,47.54623794555664,-122.29259490966795,355.0591735839844,-2.363128662109375,59871
8374,8374,w-tgVsZuqgkG_GaMBaFwKQ,16384.0,8192.0,47.54624176025391,-122.2957992553711,91.9145278930664,3.1010799407958984,10429
24706,24706,lWZtNh8XTxXtg5MRp_Q5tA,13312.0,6656.0,47.54624176025391,-122.29474639892578,271.8843994140625,-1.713714599609375,26266
19692,19692,2o97axKBWU7I50zkf_CPrw,16384.0,8192.0,47.54624557495117,-122.29582214355467,91.7806167602539,2.932357788085937,10429
4686,4686,95kfNHGS5SaMhvQWpTHZ1A,16384.0,8192.0,47.54624938964844,-122.32618713378906,178.9103240966797,-0.744484007358551,57271
28556,28556,9aAIcCVzuU_KVV8akT1iCQ,16384.0,8192.0,47.5462760925293,-122.2958984375,271.4709167480469,-2.3486328125,10429
15913,15913,q8mZwNBV3XXofhEa16G_0A,16384.0,8192.0,47.54628372192383,-122.293701171875,188.8450469970703,-0.920501708984375,61059
12377,12377,mNNdccB0eY4hHxahC1Ux0A,3328.0,1664.0,47.546295166015625,-122.2969207763672,0.5972865223884583,-6.380256652832031,45775
13950,13950,wjjW7smk4BYzLi60PwY3KA,16384.0,8192.0,47.54630279541016,-122.29695892333984,271.31170654296875,-2.3567049503326416,45775
1261,1261,7zmQXORcQpObDAzI44L2jQ,16384.0,8192.0,47.54630279541016,-122.2968978881836,272.34735107421875,-1.815826416015625,45775
14776,14776,yrlyZvImLSpWfoH0LQ8T4g,16384.0,8192.0,47.54630661010742,-122.31616973876952,179.42538452148438,1.7025527954101562,36123
9750,9750,VHs7R8IAJCdgdxpN6wt_Pg,16384.0,8192.0,47.54631805419922,-122.326171875,248.59539794921875,0.2664413452148437,57271
17218,17218,YMyl7dXmEnogPUWUOKbpQg,16384.0,8192.0,47.54632568359375,-122.30062103271484,168.21533203125,2.519859313964844,62395
24627,24627,yRrOx4Nm3r_dV-HN41wetg,16384.0,8192.0,47.54634094238281,-122.30071258544922,103.3829574584961,0.4820175170898437,62395
5277,5277,bK3iu1fIvMFQo95IWKTpxw,16384.0,8192.0,47.54635238647461,-122.32604217529295,248.6989898681641,-0.402191162109375,57271
3792,3792,Vyy9fUxkiJSxcJElurKAHA,16384.0,8192.0,47.54635238647461,-122.3003158569336,88.56708526611328,0.5360336303710938,61843
3085,3085,iLfQJMOL3A9q361AK156rw,16384.0,8192.0,47.54637908935547,-122.3005828857422,131.48898315429688,1.7556304931640625,62395
14809,14809,9vaVfg-695Y2Je3Xmteg5g,16384.0,8192.0,47.546382904052734,-122.3006362915039,167.2504425048828,2.6335699558258057,62395
222,222,V3IGvgzyc46CCAsZtB1nUg,16384.0,8192.0,47.54639053344727,-122.30035400390624,271.8450927734375,-0.6905440092086792,61843
9747,9747,ls2Zk6r9nsxKZ3J4mMqWDA,16384.0,8192.0,47.54639434814453,-122.31616973876952,179.30050659179688,-0.5288925170898438,36123
23507,23507,tWMgo_kR6RJpIaIPXXzDtQ,16384.0,8192.0,47.54639434814453,-122.31608581542967,53.96675109863281,-0.357940673828125,36123
21798,21798,MEQEE8nEIAgtvSGD6MiQfA,16384.0,8192.0,47.54641342163086,-122.31616973876952,178.7565460205078,-1.0719200372695925,36123
2812,2812,-8MJ6lbwwx0JSFY0NhXXYQ,16384.0,8192.0,47.546417236328125,-122.30036926269533,348.0852355957031,-2.405990600585937,61843
20057,20057,1YBI1pQmyJAKWtYE-SDbbw,16384.0,8192.0,47.54642105102539,-122.29368591308594,179.68511962890625,-1.7987823486328125,27430
12959,12959,zCUzjkfAipVx0VoTcEdGQg,16384.0,8192.0,47.54642868041992,-122.31604766845705,50.51288986206055,-1.3737640380859375,36123
24639,24639,UxrKrL9uj3Qf871OdszaMA,13312.0,6656.0,47.54643249511719,-122.30233001708984,270.97662353515625,3.4273834228515625,52551
17942,17942,daflm1qhgkyMBX0uBFhEzg,16384.0,8192.0,47.54645538330078,-122.3804931640625,177.37171936035156,-1.8716964721679688,50043
2144,2144,lYPeyKAITsOGXdPPvN_d5g,16384.0,8192.0,47.54645919799805,-122.3006591796875,167.84454345703125,2.414863586425781,62395
21660,21660,8PdDsjo0TGsFG9QjcbfHSw,16384.0,8192.0,47.54647064208984,-122.3130111694336,13.742865562438965,-0.4104900062084198,28282
28917,28917,xQvqQ6yKi_TgmlA_mflpRw,16384.0,8192.0,47.546478271484375,-122.3131332397461,205.66680908203125,-0.1362457275390625,28282
10131,10131,qYQx7vokifbQjk3hDaseYg,16384.0,8192.0,47.54648208618164,-122.3050537109375,270.718505859375,6.080337524414063,14788
15338,15338,RkZIcfwaqZaNW8TIeJX7pg,16384.0,8192.0,47.546485900878906,-122.30502319335938,270.8885498046875,6.33319091796875,14788
16699,16699,wCjSNEIK48AIi0Zp0hzD8w,16384.0,8192.0,47.54654693603516,-122.3130111694336,321.9523010253906,0.2558441162109375,28282
16036,16036,F4VSn2se6g7RgK02N876lw,16384.0,8192.0,47.54655838012695,-122.38314819335938,20.98450469970703,-1.152679443359375,59059
21251,21251,URslxHY-bYlf94Tobz7xCQ,16384.0,8192.0,47.54656600952149,-122.37783813476562,230.4053192138672,0.85601806640625,47991
29706,29706,eEnbk8j9evgkLlwfr_Ri1A,16384.0,8192.0,47.54656982421875,-122.37906646728516,2.069657802581787,1.0127334594726562,40799
27458,27458,vi9sL3Bf7zp8O6iKJYrbYQ,16384.0,8192.0,47.54656982421875,-122.35614013671876,88.24237823486328,2.0015945434570312,48191
12008,12008,VUfZ8RK27pf75B2dITJutQ,16384.0,8192.0,47.54656982421875,-122.3560028076172,88.1189956665039,0.0205764770507812,48191
4539,4539,gJ37vChcgHuZHjvhBYXm0w,16384.0,8192.0,47.54658126831055,-122.38572692871094,6.342437744140625,0.768890380859375,46843
9692,9692,-VgTynNaPkMqgiHhaSzEbA,,,47.54658889770508,-122.3818588256836,1.503836154937744,-1.58953857421875,52971
23719,23719,AgmzwrbWU2eO5igx1Zy3tg,16384.0,8192.0,47.54659271240234,-122.37916564941406,266.2923583984375,0.167633056640625,40799
30099,30099,oRrIj8RfzKV5T6q2vNEQoA,16384.0,8192.0,47.54659271240234,-122.37773895263672,320.3062438964844,0.2137680053710937,47991
16224,16224,PYuwyT7aBhZWtFqX8tCP0A,16384.0,8192.0,47.54660415649414,-122.37779235839844,193.03195190429688,0.383697509765625,47991
4045,4045,DIzCeVL-l7ut3GSjI82Qrg,16384.0,8192.0,47.546607971191406,-122.3803482055664,282.9739990234375,-0.6090927124023438,50043
19082,19082,-qy6HLJVwwC9rxIkLzIFLw,16384.0,8192.0,47.54661178588867,-122.32506561279295,248.0064849853516,0.4747500121593475,22552
26125,26125,T8KiKNi1fKKSq8dkkwmtSg,16384.0,8192.0,47.54662704467773,-122.3804702758789,276.02813720703125,-0.1262893676757812,50043
9794,9794,d_OBxhmw3CKt7cddLkRVJA,16384.0,8192.0,47.546630859375,-122.38192749023438,270.4912109375,2.355087280273437,52971
26121,26121,r5erOQWyWf6wjrwwqMexoA,16384.0,8192.0,47.546630859375,-122.3818588256836,270.43194580078125,1.0422821044921875,52971
17247,17247,ErvVApy0b4MjSL_FWd4ldQ,16384.0,8192.0,47.546630859375,-122.38172149658205,269.4664001464844,3.6694259643554688,52971
11725,11725,4mltFPrcjyo5gwyhSgkY8w,16384.0,8192.0,47.546634674072266,-122.38053894042967,211.621826171875,0.23895263671875,50043
22704,22704,eU5qaL190b1PS9rSZn8l6w,16384.0,8192.0,47.54664611816406,-122.38323211669922,188.97817993164065,-0.6265182495117188,59059
21520,21520,DwcLwx-b0vOnoq6T5kXDiA,16384.0,8192.0,47.546661376953125,-122.37908172607422,349.21734619140625,2.120445251464844,40799
24825,24825,ZEd5fFj1KVvfIG7yOb6zNg,16384.0,8192.0,47.54666519165039,-122.38575744628906,319.3645935058594,0.404266357421875,46843
18068,18068,wFzxpB8CVInVfn6RsUZ3KA,16384.0,8192.0,47.54667282104492,-122.38451385498048,271.5303649902344,0.5396499633789062,57423
16312,16312,tArrqpdcMYaSCaZhfRNiFA,16384.0,8192.0,47.54668426513672,-122.3843765258789,292.8412475585937,1.3357391357421875,57423
558,558,6vURyq4k0ILNWVjI0r1VZw,16384.0,8192.0,47.54668426513672,-122.38307189941406,312.966552734375,-0.5016937255859375,59059
29586,29586,9ID-V18gBp9WUV4tvSWJlg,16384.0,8192.0,47.546688079833984,-122.3855972290039,269.2831726074219,7.913719177246094,46843
26410,26410,35-KkL0d39ivo3naLGMpBA,16384.0,8192.0,47.54669570922852,-122.26158905029295,38.25392532348633,2.185615539550781,7483
1221,1221,L0KwxKAX_K6Ai4Oxo9NxKA,16384.0,8192.0,47.54670333862305,-122.3872528076172,271.411376953125,1.0395126342773438,61103
5698,5698,LtTDjMx_r2542t-F_iWayw,16384.0,8192.0,47.54670715332031,-122.38739013671876,271.4085998535156,0.9979782104492188,61103
18826,18826,eiMbP8r8xR3bF6L-sgi-0A,16384.0,8192.0,47.546722412109375,-122.26146697998048,287.64501953125,-2.494110107421875,7483
18102,18102,jdFO6b90_oNB_ESJ1wy9ow,16384.0,8192.0,47.54672622680664,-122.38871002197266,270.25506591796875,1.9766616821289065,39995
12973,12973,0rpBbGnoNEz8BbAv0T6YFQ,16384.0,8192.0,47.54673385620117,-122.38320922851562,186.10641479492188,0.18695068359375,59059
6190,6190,KPyTspgy4jF8JzrsYlNm0w,16384.0,8192.0,47.54677581787109,-122.2807846069336,294.2283020019531,0.685479998588562,13279
27062,27062,344CclDwEKt_JisEzv9PFA,16384.0,8192.0,47.546783447265625,-122.27814483642578,359.4067687988281,-0.1741939932107925,45927
9839,9839,nMC-WU182vbdxgabJqBfzg,16384.0,8192.0,47.54679870605469,-122.28087615966795,180.1011505126953,0.9533462524414062,13279
26416,26416,IrJQYpFHRZ54xyRpeN61lg,16384.0,8192.0,47.54681396484375,-122.39592742919922,290.44342041015625,-1.3175125122070312,12466
14785,14785,DOEflpXGhbQ-5aBAqWHFKg,16384.0,8192.0,47.546817779541016,-122.27814483642578,357.711181640625,-0.1169204711914062,45927
20152,20152,q-KLcBT7RhK-R-DlodSzFA,16384.0,8192.0,47.54682922363281,-122.39523315429688,208.02789306640625,0.021026611328125,41051
2883,2883,USBBzXc1wI3NFIqtg_ZDpw,16384.0,8192.0,47.546836853027344,-122.3900146484375,180.3756256103516,0.8676605224609375,58867
8128,8128,meWZTvTBtUl2HmpPVDTPew,16384.0,8192.0,47.546871185302734,-122.27814483642578,0.4935166239738464,-0.6180400252342224,45927
25111,25111,aB3VNvnmMEqEXfZZl93p-Q,16384.0,8192.0,47.546875,-122.31482696533205,322.8095703125,-0.6862258911132812,59943
600,600,jgc-QBsDyXKjHvz--H9i7w,13312.0,6656.0,47.546974182128906,-122.30803680419922,241.78843688964844,-0.6070098876953125,61535
22978,22978,97RSRIan4xGnCkgoxRtdtg,16384.0,8192.0,47.547000885009766,-122.31495666503906,12.06973934173584,-1.7768096923828125,59943
22776,22776,qoKcUzM95waloheYRl-z1A,13312.0,6656.0,47.54702377319336,-122.31492614746094,233.67434692382807,1.341278076171875,59943
24273,24273,8zaSPeCiYe4n7C1V_UZ3jA,,,47.54702377319336,-122.31492614746094,324.5237121582031,0.5626296997070312,59943
29312,29312,Qp02UuL8XVnbea3rWwqsqA,16384.0,8192.0,47.54702758789063,-122.31621551513672,121.10672760009766,-2.07666015625,7645
9746,9746,tS1DUAIiQZ0VAhoj5RtE1w,16384.0,8192.0,47.54703903198242,-122.31615447998048,182.4126434326172,-0.0672149658203125,7645
3079,3079,ilLgdS2zK9Jk1iKDzvh3og,16384.0,8192.0,47.54705810546875,-122.30789947509766,247.7289886474609,4.550201416015625,61535
22977,22977,0F42Pg1h2_EDbOqNU0hrOA,16384.0,8192.0,47.54708862304688,-122.31490325927734,266.81085205078125,2.3141021728515625,59943
3890,3890,n4VWioU7CslL-V2qNHddMA,16384.0,8192.0,47.54710006713867,-122.31502532958984,288.2406616210937,2.3658447265625,59943
22549,22549,k9OI_ZsrNJrDger85M7bMg,13312.0,6656.0,47.54715347290039,-122.2634048461914,38.741092681884766,2.416595458984375,56875
9735,9735,EnOB3RhEZEPvGcYY2E8Byw,16384.0,8192.0,47.54719161987305,-122.2633056640625,68.33594512939453,6.448448181152344,56875
9232,9232,JLRxcRS_I5JDhTMjAad7oA,16384.0,8192.0,47.54726409912109,-122.25912475585938,185.99908447265625,2.221699953079224,21517
22930,22930,Cv0G8ou8tgSndvWejHvceg,16384.0,8192.0,47.54729461669922,-122.33367156982422,4.725790023803711,0.8347930908203125,31963
29255,29255,mCvQsM5bUKUqW9PZL_GNXg,16384.0,8192.0,47.54730987548828,-122.25911712646484,186.8783721923828,1.1522598266601562,21517
8432,8432,zAYrdK-vlaTNDIEMduhENA,16384.0,8192.0,47.54734420776367,-122.32005310058594,80.2649917602539,0.1365280151367187,56855
